datetime,average,volume
1302645600000,0.93,43397.56
1302732000000,0.95,31111.88
1302818400000,1,50304.61
1302904800000,1.04,28869.3
1302991200000,1.08,24225.7
1303077600000,1.15,27478.69
1303164000000,1.18,12556.73
1303250400000,1.16,21344.95
1303336800000,1.18,39295.69
1303423200000,1.29,39415.39
1303509600000,1.55,66620.36
1303596000000,1.67,21541.69
1303682400000,1.58,13471.6
1303768800000,1.67,24054.31
1303855200000,1.89,33055.26
1303941600000,2.03,100238.23
1304028000000,2.59,57577.32
1304114400000,3.29,65427.8
1304200800000,3.14,45772.07
1304287200000,3.24,18333.83
1304373600000,3.32,16919.18
1304460000000,3.44,17278.29
1304546400000,3.41,15350.34
1304632800000,3.48,23014.7
1304719200000,3.61,17833.29
1304805600000,3.77,21132.51
1304892000000,3.8,11520.93
1304978400000,4.74,56217.32
1305064800000,5.35,52569.15
1305151200000,5.83,31722.46
1305237600000,7.48,64003.37
1305324000000,7.86,55390.45
1305410400000,6.74,18294.87
1305496800000,7.77,44141.41
1305583200000,7.52,35345.46
1305669600000,7.14,25403.44
1305756000000,6.96,24436.41
1305842400000,6.28,44460.44
1305928800000,5.97,31111.9
1306015200000,6.47,23872.15
1306101600000,7.1,35279.88
1306188000000,7.23,29282.48
1306274400000,7.98,64049.94
1306360800000,8.55,28644.99
1306447200000,8.67,14431.84
1306533600000,8.45,12247.72
1306620000000,8.3,7487.54
1306706400000,8.72,17680.15
1306792800000,8.88,45794.43
1306879200000,9.21,43479.96
1306965600000,10.11,41047.27
1307052000000,13.08,72980.24
1307138400000,16.41,44475.34
1307224800000,17.32,24278.97
1307311200000,18.46,55092.47
1307397600000,19.9,53715.04
1307484000000,27.25,104925.16
1307570400000,29.58,62933.66
1307656800000,24.67,92208.2
1307743200000,17.61,121869.97
1307829600000,16.21,151194.16
1307916000000,20.11,73421.79
1308002400000,19.25,36155.99
1308088800000,19.68,27711.9
1308175200000,18.86,49202.14
1308261600000,15.51,108623.77
1308348000000,16.04,35536.55
1308434400000,17.77,30176.74
1309039200000,15.59,15053.93
1309125600000,17.01,31452.54
1309212000000,16.93,24398.15
1309298400000,16.88,21043.37
1309384800000,16.51,34961.19
1309471200000,15.9,33284.45
1309557600000,15.53,19453.24
1309644000000,15.48,16792.29
1309730400000,14.48,52276.99
1309816800000,12.8,84081.15
1309903200000,14.8,111818.32
1309989600000,15.16,54465.7
1310076000000,14.35,34853.42
1310162400000,14.39,11909.17
1310248800000,15.08,45284.42
1310335200000,14.37,49160.01
1310421600000,14.15,26356.51
1310508000000,14.03,10338.15
1310594400000,13.93,17661.16
1310680800000,13.9,24819.54
1310767200000,13.62,17264.49
1310853600000,13.34,34375.47
1310940000000,13.03,75896.31
1311026400000,14.04,67575.61
1311112800000,13.69,23177.9
1311199200000,13.66,25018.37
1311285600000,13.65,15165.62
1311372000000,13.64,22455.6
1311458400000,13.86,26623.26
1311544800000,14.2,31577.96
1311631200000,13.91,16793.86
1311717600000,13.96,11508.66
1311804000000,13.61,32738.27
